측정일시,미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20180717,31.358974358974358,22.17948717948718
20180718,36.69230769230769,26.53846153846154
20180719,31.71794871794872,22.025641025641026
20180720,38.05128205128205,25.128205128205128
20180721,39.92307692307692,27.23076923076923
20180722,30.41025641025641,20.307692307692307
20180723,32.87179487179487,20.46153846153846
20180724,43.717948717948715,29.153846153846153
20180725,33.256410256410255,21.205128205128204
20180726,42.1578947368421,27.57894736842105
20180727,49.526315789473685,33.3421052631579
20180728,40.63157894736842,27.763157894736842
20180729,19.763157894736842,12.842105263157896
20180730,11.384615384615385,6.128205128205129
20180731,18.974358974358974,10.512820512820513
20180801,34.55263157894737,20.44736842105263
20180802,33.31578947368421,21.07894736842105
20180803,46.55263157894737,33.473684210526315
20180804,28.102564102564102,18.55263157894737
20180805,28.025641025641026,17.5
