,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
316,KOR,Asia,South Korea,2020-12-02,35703.0,540.0,483.57099999999997,529.0,3.0,2.0,696.383,10.533,9.432,10.318,0.059000000000000004,0.039,1.24,,,,,,,,,22711.0,3041816.0,59.33,0.44299999999999995,18750.0,0.366,0.026000000000000002,38.8,people tested,,,,,,,,,,60.65,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
317,KOR,Asia,South Korea,2020-12-03,36332.0,629.0,492.14300000000003,536.0,7.0,2.8569999999999998,708.6519999999999,12.269,9.599,10.455,0.13699999999999998,0.055999999999999994,1.28,,,,,,,,,24282.0,3066098.0,59.803999999999995,0.474,19059.0,0.37200000000000005,0.026000000000000002,38.7,people tested,,,,,,,,,,60.65,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
318,KOR,Asia,South Korea,2020-12-04,36915.0,583.0,505.714,540.0,4.0,2.571,720.023,11.370999999999999,9.863999999999999,10.533,0.078,0.05,1.28,,,,,,,,,27295.0,3093393.0,60.336000000000006,0.532,20065.0,0.391,0.025,39.7,people tested,,,,,,,,,,60.65,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
319,KOR,Asia,South Korea,2020-12-05,37546.0,631.0,531.714,545.0,5.0,3.1430000000000002,732.331,12.308,10.370999999999999,10.63,0.098,0.061,1.3,,,,,,,,,20836.0,3114229.0,60.743,0.406,20146.0,0.39299999999999996,0.026000000000000002,37.9,people tested,,,,,,,,,,60.65,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
320,KOR,Asia,South Korea,2020-12-06,38161.0,615.0,565.714,549.0,4.0,3.286,744.326,11.995999999999999,11.034,10.708,0.078,0.064,1.32,,,,,,,,,12922.0,3127151.0,60.995,0.252,20430.0,0.39799999999999996,0.027999999999999997,36.1,people tested,,,,,,,,,,60.65,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,8.79
321,KOR,Asia,South Korea,2020-12-07,38755.0,594.0,586.143,552.0,3.0,3.714,755.9119999999999,11.585999999999999,11.433,10.767000000000001,0.059000000000000004,0.07200000000000001,1.27,,,,,,,,,14215.0,3141366.0,61.272,0.27699999999999997,20508.0,0.4,0.028999999999999998,35.0,people tested,,,,,,,,,,60.65,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
322,KOR,Asia,South Korea,2020-12-08,39432.0,677.0,609.857,556.0,4.0,4.2860000000000005,769.117,13.205,11.895,10.845,0.078,0.084,1.24,,,,,,,,,8685.0,3150051.0,61.441,0.16899999999999998,18707.0,0.365,0.033,30.7,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
323,KOR,Asia,South Korea,2020-12-09,40098.0,666.0,627.857,564.0,8.0,5.0,782.107,12.99,12.245999999999999,11.001,0.156,0.098,1.23,,,,,,,,,28105.0,3178156.0,61.99,0.5479999999999999,19477.0,0.38,0.032,31.0,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
324,KOR,Asia,South Korea,2020-12-10,40786.0,688.0,636.286,572.0,8.0,5.143,795.5269999999999,13.419,12.411,11.157,0.156,0.1,1.28,,,,,,,,,27027.0,3205183.0,62.516999999999996,0.527,19869.0,0.38799999999999996,0.032,31.2,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
325,KOR,Asia,South Korea,2020-12-11,41736.0,950.0,688.7139999999999,578.0,6.0,5.428999999999999,814.056,18.53,13.433,11.274000000000001,0.11699999999999999,0.106,1.4,,,,,,,,,28342.0,3233525.0,63.07,0.5529999999999999,20019.0,0.39,0.034,29.1,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
